tweet_id,favorites,retweet_count
866450705531457537,105761,29599
866334964761202691,45330,12009
866094527597207552,0,7036
865718153858494464,22217,4724
865359393868664832,22937,4202
865006731092295680,24344,6547
864873206498414592,28001,7352
864279568663928832,12681,2529
864197398364647424,25959,7429
863907417377173506,17910,3532
863553081350529029,13281,3571
863471782782697472,0,2048
863432100342583297,20656,4486
863427515083354112,1918,80
863079547188785154,7706,937
863062471531167744,7301,2048
862831371563274240,16734,4375
862722525377298433,14897,3034
862457590147678208,17788,4175
862096992088072192,64608,19647
861383897657036800,31444,9096
861288531465048066,14945,3522
861005113778896900,14537,3265
860981674716409858,0,1825
860924035999428608,0,664
860563773140209665,6541,1825
860524505164394496,20604,4510
860276583193509888,16029,3006
860184849394610176,14583,5016
860177593139703809,0,26197
859924526012018688,17073,3506
859851578198683649,13568,3015
859607811541651456,16347,1347
859196978902773760,78362,25791
859074603037188101,29664,11765
858860390427611136,0,6952
858843525470990336,13769,2977
858471635011153920,18946,4183
858107933456039936,13834,2486
857989990357356544,14071,2228
857746408056729600,30004,9171
857393404942143489,5162,1413
857263160327368704,17798,3906
857214891891077121,199,16
857062103051644929,0,142
857029823797047296,16634,3438
856543823941562368,14383,2500
856526610513747968,10509,1619
856288084350160898,475,14
856282028240666624,24574,5476
855862651834028034,297,21
855860136149123072,4296,841
855857698524602368,10533,1816
855851453814013952,40304,15677
855818117272018944,23599,4714
855459453768019968,26406,7178
855245323840757760,0,5164
855138241867124737,0,36
854732716440526848,20142,5254
854482394044301312,25860,5920
854365224396361728,16708,4069
854120357044912130,28348,6472
854010172552949760,14370,2749
853760880890318849,25342,5035
853639147608842240,30756,8715
853299958564483072,13736,3115
852936405516943360,0,1760
852912242202992640,7998,1563
852672615818899456,13231,1875
852553447878664193,14472,3057
852311364735569921,29497,8706
852226086759018497,17801,5970
852189679701164033,10250,1397
851591660324737024,14531,3069
851464819735769094,21642,6189
851224888060895234,18503,5066
850753642995093505,27404,7961
850380195714523136,11701,2289
850333567704068097,3100,300
850145622816686080,14620,3334
850019790995546112,18242,4294
